,Administrador,Usuario,mini juego,color presionado,dificultad,Juego,botón correcto,tiempo de interacción,número de interacción,auto push,tiempo de lección,tiempo de sesión
74,1,2,2,2,1,0,1,6.584575,11.0,0.0,0.0,0.0
75,1,2,2,0,1,0,0,0.3166642,12.0,0.0,0.0,0.0
76,1,2,2,0,1,0,1,2.016954,13.0,0.0,0.0,0.0
77,1,2,2,1,1,0,0,0.2667844,14.0,0.0,0.0,0.0
78,1,2,2,1,1,0,1,2.000757,15.0,0.0,0.0,0.0
79,1,2,2,3,1,0,1,0.5496637,16.0,0.0,0.0,0.0
80,1,2,2,4,1,0,2,0.0,0.0,0.0,0.0,0.0
81,1,2,3,2,1,0,0,1.266624,1.0,0.0,0.0,0.0
82,1,2,3,2,1,0,0,2.83391,2.0,0.0,0.0,0.0
83,1,2,3,2,1,0,0,4.000459,3.0,0.0,0.0,0.0
84,1,2,3,2,1,0,0,4.400567,4.0,0.0,0.0,0.0
85,1,2,3,2,1,0,0,10.76693,5.0,0.0,0.0,0.0
86,1,2,3,2,1,0,0,11.4672,6.0,0.0,0.0,0.0
87,1,2,3,2,1,0,0,11.98376,7.0,0.0,0.0,0.0
88,1,2,3,2,1,0,0,4.4,8.0,0.0,0.0,0.0
89,1,2,3,2,1,0,0,4.4,9.0,0.0,0.0,0.0
90,1,2,3,2,1,0,0,4.4,10.0,0.0,0.0,0.0
91,1,2,3,1,1,0,1,4.4,11.0,0.0,0.0,0.0
92,1,2,3,1,1,0,0,4.4,12.0,0.0,0.0,0.0
93,1,2,3,1,1,0,0,4.4,13.0,0.0,0.0,0.0
94,1,2,3,2,1,0,0,4.4,14.0,0.0,0.0,0.0
95,1,2,3,3,1,0,0,4.4,15.0,0.0,0.0,0.0
96,1,2,3,1,1,0,0,4.4,16.0,0.0,0.0,0.0
97,1,2,3,2,1,0,0,4.4,17.0,0.0,0.0,0.0
98,1,2,3,2,1,0,0,4.4,18.0,0.0,0.0,0.0
99,1,2,3,0,1,0,1,4.4,19.0,0.0,0.0,0.0
100,1,2,3,2,1,0,0,1.249387,4.8,0.0,0.0,0.0
101,1,2,3,2,1,0,0,2.349434,4.8,0.0,0.0,0.0
102,1,2,3,3,1,0,1,3.266232,4.8,0.0,0.0,0.0
103,1,2,3,1,1,0,0,1.483814,4.8,0.0,0.0,0.0
104,1,2,3,0,1,0,1,2.150321,4.8,0.0,0.0,0.0
105,1,2,3,1,1,0,1,1.100005,4.8,0.0,0.0,0.0
106,1,2,3,1,1,0,0,17.16682,4.8,0.0,0.0,0.0
107,1,2,3,1,1,0,0,17.95112,4.8,0.0,0.0,0.0
108,1,2,3,3,1,0,1,4.4,4.8,0.0,0.0,0.0
109,1,2,3,2,1,0,0,4.4,4.8,0.0,0.0,0.0
110,1,2,3,0,1,0,1,4.4,4.8,0.0,0.0,0.0
111,1,2,3,4,1,0,2,0.0,0.0,0.0,0.0,0.0
112,1,2,1,0,1,0,0,0.4000233,1.0,0.0,0.0,0.0
113,1,2,1,0,1,0,0,2.633216,2.0,0.0,0.0,0.0
114,1,2,1,0,1,0,0,3.083282,3.0,0.0,0.0,0.0
115,1,2,1,0,1,0,0,3.116283,4.0,0.0,0.0,0.0
116,1,2,1,0,1,0,0,3.883272,5.0,0.0,0.0,0.0
117,1,2,1,0,1,0,0,4.033569,6.0,0.0,0.0,0.0
118,1,2,1,0,1,0,0,5.033298,7.0,0.0,0.0,0.0
119,1,2,1,1,1,0,0,4.766874,8.0,0.0,0.0,0.0
120,1,2,1,4,1,0,2,0.0,0.0,0.0,0.0,0.0
121,1,2,9,4,1,0,2,0.0,0.0,0.0,0.0,0.0
122,7,18,4,3,0,1,0,0.0,1.0,0.0,0.0,0.0
123,7,18,4,3,0,1,0,10.23588,2.0,0.0,0.0,0.0
124,7,18,4,3,0,1,0,11.93589,3.0,0.0,0.0,0.0
